0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
1.521892,2.460557,3.318810,4.066624,4.678700,5.135121,5.421790,5.530635,5.459612,5.212515,4.798605,4.232095,3.531520,2.718994,1.819424,0.859670,-0.132299,-1.128238,-2.100419,-3.022379,-3.869579,-4.619999,-5.254620,-5.757814,-6.117630,-6.325965,-6.378642,-6.275379,-6.019674,-5.618595,-5.082504,-4.424713,-3.661082,-2.809588,-1.889851,-0.922656,0.070540,1.068092,2.048634,2.991524,3.877256,4.687829,5.407078,6.020947,6.517716,6.888171,7.125715,7.226432,7.189090,7.015098,6.708408,6.275385,5.724623,5.066739,4.314128,3.480700,2.581599,1.632906,0.651337,-0.346056,-1.342188,-2.320228,-3.263874,-4.157616,-4.986969,-5.738691,-6.400966,-6.963564,-7.417973,-7.757489,-7.977291,-8.074471,-8.048040,-7.898906,-7.629817,-7.245289,-6.751496,-6.156154,-5.468371,-4.698490,-3.857917,-2.958935,-2.014517,-1.038127,-0.043522,0.955441,1.945001,2.911674,3.842437,4.724893,5.547421,6.299323,6.970944,7.553781,8.040573,8.425376,8.703610,8.872101,8.929093,8.874246
4.301601,3.692184,2.946158,2.090658,1.155815,0.173616,-0.823231,-1.802387,-2.732896,-3.586090,-4.336383,-4.961915,-5.445058,-5.772762,-5.936760,-5.933619,-5.764653,-5.435715,-4.956869,-4.341976,-3.608189,-2.775393,-1.865604,-0.902337,0.090030,1.086884,2.063984,2.998028,3.867180,4.651526,5.333485,5.898127,6.333439,6.630499,6.783582,6.790194,6.651027,6.369859,5.953383,5.410990,4.754500,3.997855,3.156784,2.248440,1.291028,0.303421,-0.695219,-1.685816,-2.649733,-3.569113,-4.427189,-5.208560,-5.899443,-6.487875,-6.963889,-7.319634,-7.549468,-7.650003,-7.620109,-7.460884,-7.175585,-6.769521,-6.249926,-5.625796,-4.907701,-4.107586,-3.238550,-2.314612,-1.350473,-0.361278,0.637636,1.630969,2.603695,3.541277,4.429881,5.256560,6.009429,6.677820,7.252405,7.725312,8.090204,8.342339,8.478611,8.497557,8.399349,8.185762,7.860120,7.427222,6.893254,6.265675,5.553106,4.765188,3.912441,3.006115,2.058029,1.080415,0.085751,-0.913396,-1.904530,-2.875379
3.038257,3.826460,4.487033,4.998183,5.343800,5.513751,5.503945,5.316212,4.957986,4.441844,3.784908,3.008139,2.135569,1.193467,0.209505,-0.788089,-1.771336,-2.713270,-3.588630,-4.374481,-5.050729,-5.600550,-6.010706,-6.271760,-6.378183,-6.328363,-6.124512,-5.772496,-5.281575,-4.664081,-3.935042,-3.111750,-2.213308,-1.260150,-0.273550,0.724862,1.713578,2.671661,3.579174,4.417559,5.169989,5.821651,6.360001,6.774943,7.058969,7.207232,7.217576,7.090503,6.829101,6.438916,5.927792,5.305671,4.584359,3.777272,2.899156,1.965801,0.993734,-0.000077,-0.998528,-1.984668,-2.941986,-3.854670,-4.707857,-5.487853,-6.182330,-6.780493,-7.273224,-7.653182,-7.914890,-8.054775,-8.071183,-7.964369,-7.736451,-7.391341,-6.934652,-6.373578,-5.716762,-4.974135,-4.156755,-3.276621,-2.346487,-1.379668,-0.389840,0.609153,1.603496,2.579590,3.524234,4.424795,5.269368,6.046920,6.747420,7.361956,7.882828,8.303626,8.619292,8.826163,8.921988,8.905936,8.778583,8.541881
3.213272,2.391962,1.480836,0.511352,-0.483929,-1.472449,-2.422692,-3.305134,-4.093068,-4.763310,-5.296745,-5.678731,-5.899356,-5.953531,-5.840960,-5.565966,-5.137207,-4.567286,-3.872278,-3.071189,-2.185363,-1.237862,-0.252832,0.745135,1.731611,2.682917,3.576663,4.392232,5.111201,5.717700,6.198688,6.544166,6.747299,6.804481,6.715314,6.482525,6.111823,5.611692,4.993145,4.269425,3.455679,2.568609,1.626094,0.646816,-0.350123,-1.345579,-2.320728,-3.257410,-4.138448,-4.947945,-5.671532,-6.296600,-6.812473,-7.210559,-7.484444,-7.629959,-7.645193,-7.530479,-7.288334,-6.923373,-6.442176,-5.853149,-5.166338,-4.393233,-3.546559,-2.640040,-1.688167,-0.705956,0.291295,1.288249,2.269761,3.221102,4.128172,4.977699,5.757412,6.456204,7.064272,7.573228,7.976195,8.267872,8.444585,8.504298,8.446621,8.272777,7.985558,7.589262,7.089602,6.493610,5.809517,5.046623,4.215162,3.326144,2.391211,1.422466,0.432321,-0.566671,-1.561972,-2.541218,-3.492364,-4.403831
4.278435,4.842296,5.245540,5.475984,5.527484,5.399871,5.098702,4.634851,4.023946,3.285707,2.443190,1.521978,0.549343,-0.446600,-1.437712,-2.396607,-3.297380,-4.116242,-4.832078,-5.426906,-5.886232,-6.199297,-6.359224,-6.363060,-6.211715,-5.909820,-5.465498,-4.890058,-4.197642,-3.404806,-2.530078,-1.593483,-0.616054,0.380652,1.375037,2.345924,3.272988,4.137159,4.920980,5.608915,6.187616,6.646124,6.976026,7.171553,7.229620,7.149815,6.934343,6.587917,6.117605,5.532647,4.844229,4.065240,3.209996,2.293955,1.333423,0.345246,-0.653487,-1.645742,-2.614828,-3.544662,-4.420029,-5.226808,-5.952179,-6.584799,-7.114957,-7.534686,-7.837858,-8.020236,-8.079501,-8.015251,-7.828963,-7.523937,-7.105208,-6.579435,-5.954773,-5.240727,-4.447980,-3.588226,-2.673978,-1.718376,-0.734993,0.262364,1.259850,2.243771,3.200768,4.117995,4.983276,5.785262,6.513560,7.158860,7.713031,8.169207,8.521856,8.766827,8.901377,8.924184,8.835337,8.636314,8.329938,7.920323
1.798475,0.845482,-0.144427,-1.138598,-2.105073,-3.013569,-3.836351,-4.548975,-5.130894,-5.565908,-5.842472,-5.953843,-5.898097,-5.677997,-5.300749,-4.777645,-4.123619,-3.356727,-2.497570,-1.568682,-0.593897,0.402283,1.395314,2.361207,3.277075,4.121648,4.875709,5.522479,6.047918,6.440963,6.693680,6.801349,6.762472,6.578711,6.254765,5.798185,5.219140,4.530134,3.745694,2.882022,1.956630,0.987962,-0.004986,-1.003046,-1.987247,-2.939165,-3.841252,-4.677139,-5.431905,-6.092312,-6.646998,-7.086638,-7.404057,-7.594304,-7.654688,-7.584770,-7.386319,-7.063235,-6.621434,-6.068705,-5.414547,-4.669973,-3.847303,-2.959940,-2.022135,-1.048747,-0.055003,0.943748,1.932271,2.895670,3.819605,4.690495,5.495706,6.223712,6.864244,7.408411,7.848805,8.179572,8.396471,8.496896,8.479887,8.346113,8.097828,7.738814,7.274304,6.710885,6.056384,5.319745,4.510893,3.640586,2.720263,1.761885,0.777773,-0.219550,-1.217525,-2.203709,-3.165933,-4.092441,-4.972030,-5.794176
5.127463,5.417535,5.530179,5.463205,5.220252,4.810422,4.247780,3.550712,2.741208,1.844064,0.886051,-0.104925,-1.100657,-2.073432,-2.996773,-3.846107,-4.599356,-5.237424,-5.744590,-6.108795,-6.321821,-6.379368,-6.281028,-6.030174,-5.633753,-5.102012,-4.448158,-3.687960,-2.839312,-1.921772,-0.956076,0.036350,1.033876,2.015133,2.959460,3.847316,4.660654,5.383246,6.000964,6.502008,6.877073,7.119470,7.225185,7.192888,7.023888,6.722046,6.293634,5.747162,5.093169,4.343982,3.513452,2.616675,1.669694,0.689200,-0.307771,-1.304135,-2.283053,-3.228204,-4.124047,-4.956060,-5.710951,-6.376849,-6.943465,-7.402216,-7.746329,-7.970908,-8.072969,-8.051448,-7.907176,-7.642829,-7.262850,-6.773350,-6.181980,-5.497792,-4.731081,-3.893210,-2.996426,-2.053675,-1.078400,-0.084347,0.914629,1.904764,2.872563,3.804983,4.689599,5.514760,6.269728,6.944804,7.531438,8.022318,8.411441,8.694175,8.867284,8.928953,8.878782,8.717773,8.448285,8.073991,7.599809,7.031818
0.193927,-0.802144,-1.781268,-2.712512,-3.567203,-4.319714,-4.948123,-5.434712,-5.766326,-5.934575,-5.935892,-5.771454,-5.446976,-4.972390,-4.361427,-3.631126,-2.801272,-1.893797,-0.932150,0.059335,1.056070,2.033818,2.969262,3.840530,4.627658,5.312994,5.881531,6.321160,6.622860,6.780800,6.792375,6.658167,6.381846,5.970001,5.431923,4.779345,4.026128,3.187933,2.281858,1.326065,0.339398,-0.658996,-1.650040,-2.615086,-3.536251,-4.396730,-5.181075,-5.875443,-6.467807,-6.948123,-7.308463,-7.543102,-7.648565,-7.623638,-7.469332,-7.188820,-6.787334,-6.272031,-5.651839,-4.937266,-4.140203,-3.273702,-2.351746,-1.389010,-0.400618,0.598098,1.591839,2.565566,3.504725,4.395453,5.224768,5.980743,6.652660,7.231137,7.708243,8.077579,8.334340,8.475350,8.499082,8.405641,8.196735,7.875626,7.447053,6.917144,6.293307,5.584114,4.799166,3.948946,3.044674,2.098148,1.121581,0.127442,-0.871703,-1.863357,-2.835237,-3.775429,-4.672524,-5.515750,-6.295090,-7.001393
5.512075,5.506018,5.322211,4.967933,4.455610,3.802213,3.028574,2.158602,1.218471,0.235777,-0.761302,-1.744813,-2.687790,-3.564948,-4.353303,-5.032697,-5.586219,-6.000533,-6.266089,-6.377241,-6.332252,-6.133212,-5.785864,-5.299351,-4.685899,-3.960437,-3.140174,-2.244142,-1.292721,-0.307148,0.690970,1.680126,2.639374,3.548747,4.389646,5.145185,5.800489,6.342931,6.762333,7.051094,7.204273,7.219615,7.097525,6.840996,6.455481,5.948739,5.330631,4.612892,3.808876,2.933277,2.001843,1.031071,0.037911,-0.960540,-1.947327,-2.905923,-3.820491,-4.676132,-5.459107,-6.157036,-6.759066,-7.256011,-7.640464,-7.906872,-8.051588,-8.072883,-7.970936,-7.747790,-7.407287,-6.954970,-6.397972,-5.744875,-5.005561,-4.191042,-3.313278,-2.384994,-1.419481,-0.430402,0.568406,1.563127,2.540152,3.486264,4.388806,5.235842,6.016303,6.720118,7.338327,7.863178,8.288210,8.608308,8.819749,8.920224,8.908845,8.786127,8.553963,8.215579,7.775466,7.239310,6.613902,5.907039
-1.452545,-2.403128,-3.286653,-4.076395,-4.749119,-5.285637,-5.671213,-5.895817,-5.954239,-5.846047,-5.575429,-5.150908,-4.584958,-3.893536,-3.095540,-2.212224,-1.266579,-0.282695,0.714868,1.701695,2.654100,3.549667,4.367734,5.089819,5.699975,6.185076,6.535025,6.742885,6.804941,6.720687,6.492740,6.126706,5.630968,5.016446,4.296301,3.485608,2.601007,1.660332,0.682231,-0.314215,-1.309869,-2.285897,-3.224119,-4.107329,-4.919580,-5.646454,-6.275275,-6.795299,-7.197855,-7.476449,-7.626827,-7.646993,-7.537195,-7.299866,-6.939539,-6.462720,-5.877742,-5.194587,-4.424690,-3.580724,-2.676376,-1.726105,-0.744907,0.251934,1.249082,2.231384,3.184096,4.093093,4.945070,5.727716,6.429879,7.041702,7.554740,7.962056,8.258286,8.439689,8.504163,8.451250,8.282109,7.999468,7.607562,7.112047,6.519902,5.839308,5.079522,4.250739,3.363939,2.430735,1.463216,0.473778,-0.525029,-1.520667,-2.500763,-3.453259,-4.366557,-5.229648,-6.032243,-6.764879,-7.419019,-7.987145
